STATION,STATION_NAME,DATE,TAVG,day
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360501,58,0
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360502,62,1
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360503,62,2
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360504,57,3
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360505,52,4
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360506,51,5
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360507,53,6
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360508,58,7
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360509,61,8
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360510,63,9
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360511,67,10
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360512,64,11
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360513,67,12
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360514,63,13
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360515,57,14
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360516,56,15
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360517,56,16
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360518,61,17
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360519,54,18
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360520,50,19
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360521,54,20
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360522,59,21
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360523,61,22
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360524,65,23
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360525,68,24
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360526,70,25
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360527,64,26
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360528,59,27
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360529,56,28
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360530,56,29
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360531,58,30
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360601,56,31
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360602,56,32
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360603,56,33
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360604,58,34
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360605,60,35
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360606,65,36
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360607,58,37
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360608,60,38
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360609,64,39
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360610,66,40
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360611,67,41
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360612,66,42
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360613,66,43
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360614,70,44
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360615,62,45
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360616,64,46
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360617,61,47
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360618,58,48
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360619,63,49
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360620,66,50
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360621,67,51
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360622,72,52
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360623,67,53
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360624,64,54
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360625,66,55
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360626,65,56
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360627,64,57
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360628,62,58
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360629,65,59
GHCND:USW00024229,PORTLAND INTERNATIONAL AIRPORT OR US,19360630,69,60
